timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1543437483438,70,addPersonRequest,200,OK,Ustawienia 1-1,text,true,,206,225,1,1,70,0,2
1543437483508,5,addPersonRequest,200,OK,Ustawienia 1-1,text,true,,201,220,1,1,5,0,0
1543437483514,3,addPersonRequest,200,OK,Ustawienia 1-1,text,true,,206,225,1,1,3,0,0
1543437483517,4,addPersonRequest,200,OK,Ustawienia 1-1,text,true,,201,220,1,1,4,0,0
1543437483747,10,getAllPersonRequestLoad,200,OK,Grupa wątków 2-1,text,true,,321,131,1,2,9,0,0
1543437483758,6,getAllPersonRequestLoad,200,OK,Grupa wątków 2-1,text,true,,321,131,1,2,6,0,1
1543437483764,31,getAllPersonRequestLoad,200,OK,Grupa wątków 2-1,text,true,,321,131,5,6,31,0,1
1543437483771,32,getAllPersonRequestLoad,200,OK,Grupa wątków 2-3,text,true,,321,131,6,7,32,0,1
1543437483788,22,getAllPersonRequestLoad,200,OK,Grupa wątków 2-4,text,true,,321,131,6,7,22,0,0
1543437483786,34,getAllPersonRequestLoad,200,OK,Grupa wątków 2-2,text,true,,321,131,7,8,34,0,1
1543437483794,30,getAllPersonRequestLoad,200,OK,Grupa wątków 2-5,text,true,,321,131,8,9,30,0,0
1543437483801,30,getAllPersonRequestLoad,200,OK,Grupa wątków 2-6,text,true,,321,131,9,10,29,0,1
1543437483795,36,getAllPersonRequestLoad,200,OK,Grupa wątków 2-1,text,true,,321,131,9,10,36,0,1
1543437483831,5,getAllPersonRequestLoad,200,OK,Grupa wątków 2-1,text,true,,321,131,9,10,5,0,1
1543437483810,30,getAllPersonRequestLoad,200,OK,Grupa wątków 2-4,text,true,,321,131,9,10,29,0,1
1543437483827,15,getAllPersonRequestLoad,200,OK,Grupa wątków 2-9,text,true,,321,131,9,10,14,0,0
1543437483822,23,getAllPersonRequestLoad,200,OK,Grupa wątków 2-8,text,true,,321,131,10,11,23,0,0
1543437483825,21,getAllPersonRequestLoad,200,OK,Grupa wątków 2-5,text,true,,321,131,10,11,21,0,0
1543437483804,47,getAllPersonRequestLoad,200,OK,Grupa wątków 2-3,text,true,,321,131,10,11,46,0,0
1543437483812,47,getAllPersonRequestLoad,200,OK,Grupa wątków 2-7,text,true,,321,131,10,11,46,0,0
1543437483831,32,getAllPersonRequestLoad,200,OK,Grupa wątków 2-6,text,true,,321,131,11,12,32,0,1
1543437483820,48,getAllPersonRequestLoad,200,OK,Grupa wątków 2-2,text,true,,321,131,12,13,47,0,1
1543437483840,33,getAllPersonRequestLoad,200,OK,Grupa wątków 2-4,text,true,,321,131,12,13,33,0,1
1543437483843,31,getAllPersonRequestLoad,200,OK,Grupa wątków 2-10,text,true,,321,131,12,13,31,0,0
1543437483851,27,getAllPersonRequestLoad,200,OK,Grupa wątków 2-3,text,true,,321,131,12,13,26,0,1
1543437483863,19,getAllPersonRequestLoad,200,OK,Grupa wątków 2-6,text,true,,321,131,12,13,18,0,1
1543437483847,38,getAllPersonRequestLoad,200,OK,Grupa wątków 2-5,text,true,,321,131,12,13,38,0,0
1543437483845,45,getAllPersonRequestLoad,200,OK,Grupa wątków 2-8,text,true,,321,131,13,14,45,0,1
1543437483842,51,getAllPersonRequestLoad,200,OK,Grupa wątków 2-9,text,true,,321,131,13,14,51,0,1
1543437483861,42,getAllPersonRequestLoad,200,OK,Grupa wątków 2-12,text,true,,321,131,15,16,41,0,1
1543437483865,38,getAllPersonRequestLoad,200,OK,Grupa wątków 2-11,text,true,,321,131,15,16,38,0,0
1543437483859,55,getAllPersonRequestLoad,200,OK,Grupa wątków 2-7,text,true,,321,131,17,18,54,0,1
1543437483874,42,getAllPersonRequestLoad,200,OK,Grupa wątków 2-4,text,true,,321,131,17,18,42,0,0
1543437483878,42,getAllPersonRequestLoad,200,OK,Grupa wątków 2-3,text,true,,321,131,17,18,41,0,1
